GEOID,NAME,median_ageE,median_ageM,edu_totalE,edu_totalM,bachelorsE,bachelorsM,mastersE,mastersM,professionalE,professionalM,doctorateE,doctorateM,bachelors_plus,bachelors_plus_moe,bachelors_plus_rate,bachelors_plus_rate_moe
48287,"Lee County, Texas",42.6,0.6,12498,289,1995,423,367,145,220,140,28,30,2610,469.5252921834989,0.2088334133461354,0.03725638127892724
48037,"Bowie County, Texas",38.5,0.4,62425,91,9239,693,4185,552,844,255,478,165,14746,936.5911594714099,0.23621946335602723,0.014999510562931891
48273,"Kleberg County, Texas",29,0.5,17099,158,2518,446,1171,251,40,24,241,111,3970,524.2270500460654,0.2321773203111293,0.030583189067311
48229,"Hudspeth County, Texas",37.6,6.6,2222,191,178,58,35,20,0,15,0,15,213,63.15853069855251,0.09585958595859587,0.02720362500843106
48419,"Shelby County, Texas",39.3,1.6,15894,166,1766,335,542,127,51,47,40,36,2399,363.12394578160223,0.15093746067698502,0.02279215385181052
48301,"Loving County, Texas",86.2,17.2,31,29,0,15,0,15,0,15,0,15,0,15,0,0.4838709677419355
48339,"Montgomery County, Texas",37.2,0.2,450020,96,113071,3202,46117,2205,8115,902,7258,820,174561,4074.4119821147196,0.38789609350695525,0.009053468313376759
48029,"Bexar County, Texas",34.8,0.1,1349274,108,263431,4969,119010,3816,27763,1570,19466,1355,429670,6599.525892062247,0.31844532689431504,0.004891101642607137
48245,"Jefferson County, Texas",37,0.3,169590,65,22724,1323,7943,735,1529,358,1272,312,33468,1586.2099482729263,0.19734654165929594,0.009352898637608398
48457,"Tyler County, Texas",43.2,1,14869,141,1313,294,394,106,98,92,40,37,1845,327.8795510549568,0.12408366399892394,0.022019801372844348
48157,"Fort Bend County, Texas",37.3,0.2,581016,74,173177,4066,85399,3525,16770,1719,16498,1508,291844,5846.965537781115,0.5022994203257741,0.01006314350736195
48139,"Ellis County, Texas",36.3,0.2,138018,130,27501,1532,11991,1032,944,205,1110,292,41546,1881.3125737101743,0.3010187077047921,0.013627972732746024
