"Time","Trump"," Kamala Harris"," Election"
"2021-09-01",4,0,3
"2021-10-01",4,0,1
"2021-11-01",3,1,6
"2021-12-01",4,0,1
"2022-01-01",4,0,1
"2022-02-01",5,0,1
"2022-03-01",4,0,2
"2022-04-01",3,0,2
"2022-05-01",3,0,4
"2022-06-01",4,0,2
"2022-07-01",7,0,1
"2022-08-01",7,0,3
"2022-09-01",5,0,1
"2022-10-01",4,0,3
"2022-11-01",7,0,40
"2022-12-01",5,0,2
"2023-01-01",3,0,1
"2023-02-01",3,0,1
"2023-03-01",8,0,2
"2023-04-01",7,0,2
"2023-05-01",4,0,2
"2023-06-01",6,0,1
"2023-07-01",4,0,1
"2023-08-01",9,0,1
"2023-09-01",4,0,1
"2023-10-01",5,0,2
"2023-11-01",4,0,5
"2023-12-01",4,0,1
"2024-01-01",7,0,2
"2024-02-01",8,0,2
"2024-03-01",8,0,3
"2024-04-01",7,0,2
"2024-05-01",11,0,2
"2024-06-01",11,0,3
"2024-07-01",40,8,3
"2024-08-01",14,6,3
"2024-09-01",17,4,3
"2024-10-01",18,4,8
"2024-11-01",39,7,100
"2024-12-01",8,0,2
"2025-01-01",30,1,2
"2025-02-01",23,0,2
"2025-03-01",19,0,2
"2025-04-01",16,0,3
"2025-05-01",13,0,2
"2025-06-01",17,0,2
"2025-07-01",16,0,1
"2025-08-01",13,0,1
"2025-09-01",14,0,1
"2025-10-01",13,0,2
"2025-11-01",15,0,9
"2025-12-01",12,0,2
"2026-01-01",16,0,2
"2026-02-01",16,0,3
"2026-03-01",13,0,3
"2026-04-01",18,0,3
"2026-05-01",12,0,4
"2026-06-01",12,0,4
"2026-07-01",13,0,2
"2026-08-01",11,0,3
"2026-09-01",12,0,2
