"Time","data center"
"2026-06-16",100
"2026-06-17",87
"2026-06-18",81
"2026-06-19",66
"2026-06-20",66
"2026-06-21",74
"2026-06-22",93
"2026-06-23",86
"2026-06-24",92
"2026-06-25",60
"2026-06-26",77
"2026-06-27",69
"2026-06-28",69
"2026-06-29",93
"2026-06-30",92
"2026-07-01",80
"2026-07-02",72
"2026-07-03",68
"2026-07-04",65
"2026-07-05",66
"2026-07-06",66
"2026-07-07",69
"2026-07-08",94
"2026-07-09",81
"2026-07-10",72
"2026-07-11",61
"2026-07-12",54
"2026-07-13",58
"2026-07-14",61
"2026-07-15",61
"2026-07-16",54
"2026-07-17",54
"2026-07-18",48
"2026-07-19",96
"2026-07-20",64
"2026-07-21",62
"2026-07-22",60
"2026-07-23",60
"2026-07-24",59
"2026-07-25",53
"2026-07-26",45
"2026-07-27",61
"2026-07-28",57
"2026-07-29",55
"2026-07-30",49
"2026-07-31",50
"2026-08-01",41
"2026-08-02",41
"2026-08-03",43
"2026-08-04",59
"2026-08-05",53
"2026-08-06",54
"2026-08-07",43
"2026-08-08",42
"2026-08-09",45
"2026-08-10",56
"2026-08-11",56
"2026-08-12",53
"2026-08-13",53
"2026-08-14",49
"2026-08-15",45
"2026-08-16",42
"2026-08-17",50
"2026-08-18",49
"2026-08-19",52
"2026-08-20",50
"2026-08-21",44
"2026-08-22",34
"2026-08-23",35
"2026-08-24",42
"2026-08-25",49
"2026-08-26",47
"2026-08-27",49
"2026-08-28",39
"2026-08-29",28
"2026-08-30",26
"2026-08-31",39
"2026-09-01",47
"2026-09-02",44
"2026-09-03",39
"2026-09-04",36
"2026-09-05",26
"2026-09-06",26
"2026-09-07",29
"2026-09-08",40
"2026-09-09",38
"2026-09-10",40
"2026-09-11",32
"2026-09-12",29
